Ticker,Name
IWP,ISHARES TRUST - ISHARES RUSSELL MID-CAP GROWTH ETF
IWR,ISHARES TRUST - ISHARES RUSSELL MID-CAP ETF
IWS,ISHARES TRUST - ISHARES RUSSELL MID-CAP VALUE ETF
IWV,ISHARES TRUST-ISHARES RUSSELL 3000 ETF
IXUS,ISHARES TRUST-ISHARES CORE MSCI TOTAL INTL STOCK ETF/MKUS
IYY,ISHARES TRUST - ISHARES DOW JONES U.S. ETF
JAAA,JANUS DETROIT STREET TRUST - JANUS HENDERSON AAA CLO ETF
JBBB,JANUS DETROIT STREET TRUST - JANUS HENDERSON B-BBB CLO ETF
JUST,GS ETF TRUST - GS JUST U.S. LARGE CAP EQUITY ETF
MUB,ISHARES TRUST - ISHARES NATIONAL MUNI BOND ETF
MUNY,VANGUARD NEW YORK TAX-FREE FUNDS-VANG NEW YORK TAX-EX BD ETF
NFTY,FIRST TR EXCH-TR ALPHA DX LI-FR IND NFTY 50 EQ WGH ETF
NOBL,PROSHARES TRUST - PROSHARES S&P 500 DIVIDEND ARISTOCRATS ETF
NYF,ISHARES TRUST - ISHARES NEW YORK MUNI BOND ETF
OPPE,WISDOMTREE TRUST - WISDOMTREE EUROPE HEDGED SMALLCAP EQUITY
PALL,ABERDEEN STANDARD PHYSICAL PALLADIUM SHARES ETF
PBD,INVESCO EXCH-TRADED FD TR II-INVESCO GLOBAL CLEAN ENERGY ETF
PBW,INVESCO EXCHANGE-TRADED FUND TRUST- INV WH CLEAN ENG ETF
PCY,INVESCO EXC-TRED FD TR II-INVESCO EMERGING MKTS SOV DEBT ETF
PEY,INV EX-TR FD TR-INVESCO HGH YLD EQUITY DIV ACHIEVERS ETF
PFF,ISHARES TRUST - ISHARES PREFERRED AND INCOME SECURITIES ETF
PGX,INVESCO EXCHANGE-TRADED FUND TRUST II -INVESCO PREFERRED ETF
PID,INV EX-TR FD TR-INV INTL DIVD ACHIEVER ETF
PPLT,ABERDEEN STANDARD PHYSICAL PLATINUM SHARES ETF
PRF,INVESCO EX-TR FD TR-INVESCO FTSE RAFI US 1000 ETF
QETH,INVESCO GALAXY ETHEREUM ETF
